iter	RMSE
277	1.005976084
278	1.003978244
279	1.001812304
280	0.9997561189
281	0.9971664494
282	0.9952895963
283	0.993096269
284	0.9904883553
285	0.9901866307
286	0.9881990971
287	0.98759228
288	0.9854986655
289	0.9850934036
290	0.984862273
291	0.9844944832
292	0.9831959725
293	0.9807593197
294	0.9806412777
295	0.9781508832
296	0.975870528
297	0.9745386316
298	0.9741794956
299	0.9732858375
300	0.9727754708
301	0.970228734
302	0.9701417526
303	0.9689371579
304	0.9688104854
305	0.9677220685
306	0.9654829108
307	0.963405007
308	0.963327041
309	0.963221873
310	0.961443404
311	0.9600477162
312	0.9569626847
313	0.9549349985
314	0.9532403831
315	0.9527590472
316	0.9500406013
317	0.9481094122
318	0.9466444296
319	0.944869535
320	0.9433314124
321	0.9413737642
322	0.9410603891
323	0.9409327631
324	0.9394302218
325	0.9382139013
326	0.9365387795
327	0.9355970996
328	0.9354052988
329	0.9342585899
330	0.9324852599
331	0.9310923896
332	0.9297287931
333	0.9275066232
334	0.9273034327
335	0.9254605102
336	0.9254043205
337	0.9229030832
338	0.9222012384
339	0.9201894216
340	0.9187045586
341	0.9172301262
342	0.9171416351
343	0.9146246407
344	0.9145298752
345	0.9131693179
346	0.9127320794
347	0.9126482451
348	0.9120068478
349	0.9099818117
350	0.9098443909
351	0.908320863
352	0.907242639
353	0.9047012175
354	0.9043033261
355	0.9034700181
356	0.9017209143
357	0.9008088283
358	0.8990204253
359	0.8982069726
360	0.8981605227
361	0.8958191927
362	0.8939010264
363	0.8919949265
364	0.8911957096
365	0.8899726457
366	0.8882043878
367	0.8865681677
368	0.8851657381
369	0.8847437757
370	0.8829614545
371	0.881269481
372	0.8796593904
373	0.8783611199
374	0.8771272718
375	0.8770225833
376	0.8748736269
377	0.8731273211
378	0.8723748138
379	0.8710785723
380	0.8689902378
381	0.8673626968
382	0.8661136724
383	0.866068886
384	0.8641882568
385	0.8616503502
386	0.8615757575
387	0.8599510145
388	0.859405601
389	0.8584547695
390	0.8563491517
391	0.8537025249
392	0.8518654195
393	0.8516453085
394	0.8495383449
395	0.8475725745
396	0.8455552569
397	0.8431635074
398	0.8414899962
399	0.839795212
400	0.8396169171
401	0.8382671575
402	0.8364296515
403	0.834593523
404	0.8341723893
405	0.8319564962
406	0.8301894468
407	0.8288166628
408	0.8281748518
409	0.8264536649
410	0.8245834106
411	0.8243892541
412	0.822805113
413	0.8219665207
414	0.8200743842
415	0.8181671894
416	0.8163866371
417	0.8148933116
418	0.8136744427
419	0.8129092778
420	0.8116024554
421	0.8100505033
422	0.8082743575
423	0.8068549451
424	0.8050756166
425	0.8048003174
426	0.8031806857
427	0.8020852618
428	0.8008892818
429	0.7989044741
430	0.798870643
431	0.79772989
432	0.7959919387
433	0.7943375013
434	0.7938715816
435	0.7936436561
436	0.7924674529
437	0.792427589
438	0.7912167517
439	0.789776238
440	0.7882591013
441	0.7875667289
442	0.7865285133
443	0.7859635434
444	0.7855626859
445	0.7839412279
446	0.7839030823
447	0.7836033855
448	0.7818957902
449	0.7811788968
450	0.7811285766
451	0.7791585014
452	0.7779406218
453	0.7775958721
454	0.7762190397
455	0.775632396
456	0.7738886603
457	0.7722994599
458	0.7707522224
459	0.7692790561
460	0.7687653577
461	0.7681443451
462	0.7669697421
463	0.7658527372
464	0.7648106265
465	0.7633167295
466	0.7629016484
467	0.7628151717
468	0.7616299161
469	0.7608801586
470	0.759937094
471	0.7578290186
472	0.7568421523
473	0.7551300976
474	0.7533770448
475	0.7516326967
476	0.7501696507
477	0.7484193456
478	0.7469920515
479	0.7453667349
480	0.7440960662
481	0.742221617
482	0.7416110053
483	0.7407593184
484	0.7404094942
485	0.7392592697
486	0.7384664987
487	0.7368425135
488	0.7358617937
489	0.7350360105
490	0.7339510388
491	0.7337614594
492	0.732898477
493	0.7316064784
494	0.7315504681
495	0.7300272756
496	0.7283461199
497	0.7276508622
498	0.7265018422
499	0.7249278615
500	0.724125784
501	0.721988944
502	0.7201025017
503	0.7191814202
504	0.7176392627
505	0.7166391603
506	0.7155706614
507	0.7138302762
508	0.7133541855
509	0.7124971601
510	0.7110321862
511	0.710352682
512	0.709647652
513	0.7079390334
514	0.7068782996
515	0.7063341817
516	0.7049442116
517	0.7032644352
518	0.7022638282
519	0.7022235358
520	0.7006804066
521	0.6997444585
522	0.6990402862
523	0.6978638718
524	0.6972120314
525	0.6958984359
526	0.6951841121
527	0.6941390369
528	0.6934450532
529	0.6923870588
530	0.6918229962
531	0.6898495497
532	0.6890897865
533	0.6876574711
534	0.6864625051
535	0.6863413495
536	0.6856731588
537	0.6843268379
538	0.68411953
539	0.6834251079
540	0.6822142521
541	0.6819569435
542	0.6811956418
543	0.6796262862
544	0.6785182829
545	0.6772104944
546	0.6758830357
547	0.6745472371
548	0.6726935057
549	0.6716055091
550	0.6700135178
551	0.6696399849
552	0.6685564057
553	0.6677762858
554	0.6676001265
555	0.6659448317
556	0.6655689933
557	0.6649361925
558	0.66439751
559	0.663930097
560	0.6631410293
561	0.6614758497
562	0.660875247
563	0.6598212743
564	0.6587534717
565	0.6575100425
566	0.6572608397
567	0.6569378298
568	0.6565174734
569	0.6551616767
570	0.6544648255
571	0.6534637037
572	0.6528262113
573	0.6527880477
574	0.6526713916
575	0.6515429766
576	0.6507636304
577	0.6496104434
578	0.6495701237
579	0.6495091976
580	0.6484989639
581	0.6484458031
582	0.6478678483
583	0.6478079999
584	0.647047158
585	0.6460467219
586	0.6453314206
587	0.6444552114
588	0.6431582
589	0.6421580712
590	0.6408426309
591	0.6400162204
592	0.6394294373
593	0.6381334027
594	0.6376052519
595	0.6372791404
596	0.6359244138
597	0.6352995322
598	0.6352100085
599	0.6341070742
600	0.6326326588
601	0.6320305036
602	0.631055386
603	0.6300257494
604	0.6291849271
605	0.6291507151
606	0.6291079907
607	0.628423065
608	0.6270935366
609	0.6262151822
610	0.6259498388
611	0.625808756
612	0.6245482443
613	0.6227974501
614	0.6221744776
615	0.6214240047
616	0.6208885365
617	0.6204403551
618	0.6195197816
619	0.6186691673
620	0.6176615984
621	0.6160256047
622	0.6159845692
623	0.615317853
624	0.6151197216
625	0.6146510372
626	0.6136617266
627	0.6128538384
628	0.6115912044
629	0.6109836259
630	0.6098048784
631	0.6091950998
632	0.6085558685
633	0.6078029821
634	0.6073991969
635	0.6073483232
636	0.6065476155
637	0.6059694361
638	0.6045706557
639	0.6045477817
640	0.6039418686
641	0.603539324
642	0.6031362216
643	0.6025231428
644	0.6024864753
645	0.6021546185
646	0.6018462375
647	0.6018236091
648	0.6010664326
649	0.6003470319
650	0.599592557
651	0.5992151447
652	0.5986712429
653	0.5983185537
654	0.5970677802
655	0.5960791286
656	0.5955753926
657	0.5954970192
658	0.5954641263
659	0.5947449159
660	0.5934830227
661	0.5932423601
662	0.5923943119
663	0.5923707275
664	0.5915217651
665	0.5909636735
666	0.5898598706
667	0.5895230552
668	0.588633686
669	0.588605868
670	0.587881635
671	0.5873167425
672	0.5865563199
673	0.5860349885
674	0.5851718697
675	0.5845287758
676	0.5840225225
677	0.5839816255
678	0.5839668531
679	0.5839433743
680	0.582846258
681	0.5825460465
682	0.5820291773
683	0.5820084046
684	0.5812808086
685	0.5804504439
686	0.5800500008
687	0.5799029868
688	0.5792720755
689	0.5781592225
690	0.5777158089
691	0.577027142
692	0.5755743256
693	0.5745965943
694	0.5735900605
695	0.5731121373
696	0.572194583
697	0.5721567852
698	0.5718931341
699	0.5707699887
700	0.5704099898
701	0.5698981047
702	0.5693901321
703	0.5684358958
704	0.5675319663
705	0.5675172607
706	0.5670279755
707	0.5662028101
708	0.5657817628
709	0.5651684462
710	0.5651324346
711	0.5645106856
712	0.5635538361
713	0.5628428159
714	0.5623904037
715	0.5615413262
716	0.5605837233
717	0.5601930286
718	0.559732681
719	0.5596742246
720	0.5592675037
721	0.558971211
722	0.5585281595
723	0.5575197813
724	0.5570743416
725	0.5563047759
726	0.5562818416
727	0.5559183122
728	0.5557241371
729	0.5552291083
730	0.554687233
731	0.5546667222
732	0.5534906318
733	0.5528724358
734	0.5515526334
735	0.5511350186
736	0.5505050259
737	0.5501733553
738	0.5499808961
739	0.548870507
740	0.5469582308
741	0.5462365726
742	0.5462133055
743	0.5451925902
744	0.5443861571
745	0.5429904716
746	0.5420496064
747	0.5416439044
748	0.5415470807
749	0.5414848208
750	0.5406692036
751	0.5403328579
752	0.5393817405
753	0.5393090135
754	0.5387957676
755	0.5387725541
756	0.5377300151
757	0.5376917214
758	0.5372018796
759	0.5361006482
760	0.5353553396
761	0.5348808081
762	0.5343473428
763	0.5342649188
764	0.5337835526
765	0.5331524372
766	0.5321660038
767	0.5316051431
768	0.5310220162
769	0.5298351723
770	0.5294453543
771	0.5288877654
772	0.5282671961
773	0.5274969321
774	0.5274727796
775	0.5266999676
776	0.5255508327
777	0.5254266627
778	0.5250071387
779	0.5244165853
780	0.523823408
781	0.5233370962
782	0.5221439788
783	0.5221301477
784	0.5221136772
785	0.5214399689
786	0.5207618301
787	0.5198911645
788	0.5188491447
789	0.517991659
790	0.5173554607
791	0.516545895
792	0.5158995371
793	0.515025952
794	0.5140904896
795	0.51353035
796	0.5131677202
797	0.5120979979
798	0.5114757571
799	0.5108805105
800	0.5100461226
801	0.5092890568
802	0.5089785283
803	0.5083692615
804	0.5077296498
805	0.5068100488
806	0.5061599414
807	0.5059128347
808	0.5051059036
809	0.5050678798
810	0.5039731288
811	0.5029221556
812	0.5015397329
813	0.5010311331
814	0.5009267988
815	0.5004532103
816	0.4996748297
817	0.4995165002
818	0.4994892136
819	0.4990280837
820	0.4985258538
821	0.4975812125
822	0.4975586168
823	0.497036471
824	0.4965188913
825	0.4955882967
826	0.4955662155
827	0.4951485911
828	0.4949586026
829	0.4941344714
830	0.4937647262
831	0.4931111723
832	0.4925892561
833	0.4917251066
834	0.4913952306
835	0.4911072808
836	0.4904015787
837	0.4903347342
838	0.4896837078
839	0.489129625
840	0.4891117505
841	0.4881572705
842	0.4881420968
843	0.4878139428
844	0.4875279911
845	0.4875149071
846	0.4866985654
847	0.4865991366
848	0.4859238323
849	0.4848977797
850	0.484215041
851	0.4836532754
852	0.4833378623
853	0.4828714258
854	0.4823388591
855	0.4818176652
856	0.4807124101
857	0.4796968716
858	0.4790410984
859	0.4786063846
860	0.478156867
861	0.4781217735
862	0.4765977218
863	0.4763924272
864	0.4759005237
865	0.4756099838
866	0.4750862618
867	0.4748410741
868	0.4743133744
869	0.4735432783
870	0.4728440519
871	0.4728222985
872	0.4716632475
873	0.4716198085
874	0.4709985908
875	0.4707342257
876	0.4698196603
877	0.4690992459
878	0.4687853567
879	0.4680837971
880	0.4680608856
881	0.467371512
882	0.4666664942
883	0.466644316
884	0.4666295096
885	0.4663068031
886	0.4655291672
887	0.4647404601
888	0.4642261463
889	0.4634577822
890	0.4633015247
891	0.4632838792
892	0.4627872762
893	0.4621212381
894	0.4616469555
895	0.4610247791
896	0.4600563739
897	0.4600063064
898	0.4592349077
899	0.4588698803
900	0.4588128229
901	0.4581842126
902	0.4575487392
903	0.4573348405
904	0.4567636795
905	0.456008554
906	0.4559205331
907	0.4549298265
908	0.4546760874
909	0.4535305621
910	0.4535092282
911	0.4527657622
912	0.4527175959
913	0.4518832816
914	0.4510925913
915	0.4509461827
916	0.4505391194
917	0.4503662212
918	0.4496530013
919	0.449384232
920	0.4493541843
921	0.4490797642
922	0.4482921381
923	0.4473081044
924	0.4462947549
925	0.4461635142
926	0.4457488835
927	0.4449626059
928	0.4441338751
929	0.444032123
930	0.4433301122
931	0.4429383587
932	0.4423646348
933	0.4414946051
934	0.4408597515
935	0.4405357857
936	0.4401445691
937	0.4395392646
938	0.4394800274
939	0.4394587502
940	0.4391763486
941	0.4383541017
942	0.4379290867
943	0.437588497
944	0.4365745682
945	0.4362302179
946	0.4359308705
947	0.4357982657
948	0.4355585439
949	0.4352285223
950	0.4350693636
951	0.4345113724
952	0.4337920561
953	0.4333828181
954	0.4328297296
955	0.4328024518
956	0.4323477327
957	0.4319768313
958	0.4313478959
959	0.4313348082
960	0.4307604039
961	0.4297907177
962	0.4294538385
963	0.4291290514
964	0.4282471694
965	0.4278395579
966	0.4275106467
967	0.4271282882
968	0.4267726018
969	0.426511702
970	0.4260790327
971	0.4252565744
972	0.4251452854
973	0.4241743832
974	0.4234875722
975	0.4234770887
976	0.4231316098
977	0.4224962667
978	0.4222213837
979	0.4220312786
980	0.4215367313
981	0.4213027474
982	0.4207593852
983	0.4207491796
984	0.4207354182
985	0.4203324886
986	0.4200383226
987	0.4192701387
988	0.4189058054
989	0.4188864807
990	0.4180002777
991	0.4179060776
992	0.4177917394
993	0.4173398654
994	0.4166418108
995	0.4165228301
996	0.4161065993
997	0.4160451669
998	0.4156777793
999	0.4152659021
